Nitrogen(mg/kg),Phosphorus(mg/kg),Potassium(mg/kg),Soil_Type,Crop_Type,pH,Electrical_Conductivity,Soil_Moisture,Soil_Temperture,N_Status,P_Status,K_Status,Primary_Fertilizer,Secondary_Fertilizer,pH_Amendment
77.02,31.28,97.43,Red,Moong,6.95,1027.93,24.78,21.59,0,0,26.57,Potassium Carbonate,Borax + Zinc Sulphate,Balance Maintain
63.68,7.89,175.19,Alkaline,Sugarcane,8.17,2191.32,19.86,29.09,26.32,0,0,Ammonium Sulphate,Copper Sulphate + Zinc Sulphate,Ammonium Sulphate
80.92,25.25,95.96,Red,Bajra,5.84,679.73,29.6,24.29,0,2.75,28.04,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Borax + Manganese Sulphate,Wood Ash
119.13,10.11,152.59,Alluvial,Rice,7.08,736.48,21.32,28.11,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Zinc Sulphate,Balance Maintain
208.85,4.57,168.28,Black,Onion,6.91,1092.78,20.31,33,0,3.43,0,DAP (Di-Ammonium Phosphate),Copper Sulphate + Manganese Sulphate,Balance Maintain
102.78,5.83,96.98,Alkaline,Mustard,7.89,1472.28,12.54,28.91,0,0.17,33.02,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Boric Acid + Ferrous Sulphate + Zinc Sulphate,Aluminium Sulphate
89.6,9.41,49.72,Red,Ragi,7.34,265.25,29.85,20.24,0,18.59,74.28,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Boric Acid + Zinc Sulphate,Balance Maintain
167.17,8.54,115.76,Arid,Wheat,8.35,1979.79,15.54,28.47,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ammonium Molybdate,Aluminium Sulphate
229.5,72.4,290.76,Arid,Maize,7.89,747.94,12.67,31.03,0,0,0,Balanced NPK (14-14-14),Borax + Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Gypsum
141.72,13.09,114.47,Laterite,Maize,6.26,814.88,22.51,21.41,0,0,0,Balanced NPK (14-14-14),Sodium Molybdate + Zinc Sulphate,Balance Maintain
184.15,8.06,153.68,Clayey,Ragi,7.43,395.84,25.73,26.27,0,1.94,0,MAP (Mono-Ammonium Phosphate),Ferrous Sulphate + Manganese Sulphate,Balance Maintain
61.81,40.2,126.39,Red,Garlic,5.77,706.87,24.34,19.37,10.19,0,0,Urea,Borax + Manganese Sulphate,Wood Ash
160.12,6.11,91.72,Arid,Ragi,8.86,1785.26,15.89,39.57,0,0,22.28,Potassium Nitrate,Boric Acid + Copper Sulphate,Aluminium Sulphate
35.32,6.45,104.19,Alkaline,Garlic,8.84,1295.81,10.38,35.4,54.68,0,25.81,Urea + MOP (Muriate of Potash),Boric Acid + Ferrous Sulphate + Zinc Sulphate,Elemental Sulphur
211.36,56.36,138.12,Red,Jowar,8.44,293.86,18.75,26.79,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Gypsum
144.84,13.78,206.99,Clayey,Ragi,6.65,1345.86,32.23,23.87,5.16,0,0,Ammonium Nitrate,Manganese Sulphate + Zinc Sulphate,Balance Maintain
117.12,4.88,139.32,Clayey,Maize,7.25,894.75,29.47,20.42,32.88,5.12,10.68,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Boric Acid + Zinc Sulphate,Balance Maintain
82.83,2,89.66,Black,Mustard,7.62,1257.28,20.91,25.24,32.17,6,57.34,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Borax + Zinc Sulphate,Aluminium Sulphate
91.58,11.64,145.79,Alkaline,Wheat,8.86,1596.75,18.79,35.04,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ammonium Molybdate,Elemental Sulphur
73.32,6.75,171.64,Red,Soybean,5.95,1470.06,23.18,33.06,0,21.25,0,DAP (Di-Ammonium Phosphate),Copper Sulphate + Ferrous Sulphate,Hydrated Lime
150.53,5.74,97.36,Arid,Moong,8.08,1898.25,5.35,36.66,0,0.26,16.64,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Borax + Ferrous Sulphate + Zinc Sulphate,Ammonium Sulphate
98.97,6.01,131.32,Black,Rice,7.38,1292.19,37.55,30.29,16.03,1.99,15.68,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Copper Sulphate + Manganese Sulphate,Balance Maintain
98.14,12.16,103.73,Laterite,Barley,5.72,417.33,30.53,25.11,22.86,0,0,Ammonium Chloride,Copper Sulphate + Zinc Sulphate,Hydrated Lime
237.35,57.16,265.19,Black,Groundnut,8.53,652.73,22.06,32.64,0,0,0,Balanced NPK (14-14-14),Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Ferrous Sulphate
57.04,9.13,130.82,Alkaline,Maize,8.77,1541.76,15.84,20.17,32.96,0,0,UAN (Urea Ammonium Nitrate),Manganese Sulphate + Ammonium Molybdate,Elemental Sulphur
126.18,7.58,151.28,Black,Mustard,7.24,679.08,25.86,24.6,0,0.42,0,SSP (Single Super Phosphate),Boric Acid + Zinc Sulphate,Balance Maintain
196.95,13.17,110.14,Laterite,Sugarcane,6.25,1069.65,16.82,27.42,0,0,0,Balanced NPK (14-14-14),Boric Acid + Ammonium Molybdate,Balance Maintain
112.5,5.54,196.47,Alluvial,Mustard,6.44,601.88,20.43,28.66,0,2.06,0,DAP (Di-Ammonium Phosphate),Ferrous Sulphate + Zinc Sulphate,Balance Maintain
135.54,6.71,160.97,Clayey,Maize,6.6,763.13,21.46,29.51,14.46,3.29,0,DAP (Di-Ammonium Phosphate),Ferrous Sulphate + Sodium Molybdate,Balance Maintain
128.8,10.93,84.84,Clayey,Soybean,5.94,706.02,35.54,25.82,21.2,0,65.16,Urea + MOP (Muriate of Potash),Ferrous Sulphate + Manganese Sulphate,Quicklime
140.39,13.43,142.8,Clayey,Chickpea,6.49,629.32,20.23,24.56,9.61,0,7.2,Urea + MOP (Muriate of Potash),Ferrous Sulphate + Manganese Sulphate,Balance Maintain
31.88,3.53,104.92,Red,Soybean,5.14,311.12,23.75,33.39,40.12,24.47,19.08,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Manganese Sulphate + Zinc Sulphate,Wood Ash
50.97,3.97,116.62,Alkaline,Onion,8.68,1735.52,24.89,21.18,39.03,2.03,13.38,Balanced NPK (14-14-14),Boric Acid + Zinc Sulphate,Elemental Sulphur
194.26,11.89,152.45,Clayey,Groundnut,7.41,1009.68,33.91,24.36,0,0,0,Balanced NPK (14-14-14),Calcium Chloride + Zinc Sulphate,Balance Maintain
164.57,15.54,86.04,Laterite,Groundnut,6.39,507.73,18.76,26.96,0,0,2.96,MOP (Muriate of Potash),Manganese Sulphate + Zinc Sulphate,Balance Maintain
78.37,3.01,137.44,Laterite,Onion,5.88,395.17,28.96,28.04,42.63,5.99,0,DAP (Di-Ammonium Phosphate),Borax + Zinc Sulphate,Dolomitic Lime
111.17,8.28,107.5,Alkaline,Bajra,8.14,1950.88,23.66,33.16,0,0,22.5,Potassium-Magnesium Sulphate,Borax + Manganese Sulphate,Ammonium Sulphate
54.35,10.4,176,Alkaline,Jowar,8.31,826.3,24.55,33.47,35.65,0,0,UAN (Urea Ammonium Nitrate),Ferrous Sulphate + Zinc Sulphate,Gypsum
161.71,7.63,201.59,Black,Garlic,6.36,738.17,21.13,32.11,0,0.37,0,TSP (Triple Super Phosphate),Ferrous Sulphate + Manganese Sulphate,Balance Maintain
119.97,14.96,95.54,Clayey,Onion,7.03,319.15,38.9,29.9,30.03,0,54.46,Urea + MOP (Muriate of Potash),Boric Acid + Manganese Sulphate,Balance Maintain
65.24,10.09,73.09,Red,Mustard,6.41,1186.32,20.37,19.82,6.76,17.91,50.91,Balanced NPK (14-14-14),Ferrous Sulphate + Zinc Sulphate,Balance Maintain
72.03,12.04,92.02,Clayey,Jowar,6.68,348.26,31.04,25.85,77.97,0,57.98,Urea + MOP (Muriate of Potash),Manganese Sulphate + Zinc Sulphate,Balance Maintain
60.35,3.74,42.88,Alluvial,Moong,7.19,314.3,28.55,27.86,49.65,3.86,109.12,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Boric Acid + Sodium Molybdate,Balance Maintain
105.29,23.14,111.27,Red,Rice,5.51,1289.97,21.56,32.47,0,4.86,12.73,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Manganese Sulphate + Zinc Sulphate,Dolomitic Lime
128.26,2,76,Laterite,Mustard,6.53,1165.02,33.99,22.21,0,7,13,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Manganese Sulphate + Ammonium Molybdate,Balance Maintain
126.41,7.95,182.12,Black,Garlic,6.89,450.53,39.6,26.9,0,0.05,0,Rock Phosphate,Borax + Manganese Sulphate,Balance Maintain
153.73,3.39,141.58,Black,Moong,6.97,602.66,26.91,32.56,0,4.61,5.42,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Boric Acid + Ferrous Sulphate,Balance Maintain
131.82,14.58,132.92,Black,Sugarcane,6.82,771.57,20.82,22.37,0,0,14.08,Potassium Nitrate,Ferrous Sulphate + Manganese Sulphate,Balance Maintain
128.32,43.55,126.54,Laterite,Maize,7.88,476.47,19.13,25.46,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Elemental Sulphur
89.04,2.51,119.94,Black,Rice,6.26,269.77,21.64,32.23,25.96,5.49,27.06,Balanced NPK (14-14-14),Copper Sulphate + Ammonium Molybdate,Balance Maintain
109.77,51.08,277.36,Clayey,Onion,8.52,648.96,23.69,20.93,40.23,0,0,Ammonium Sulphate,Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Gypsum
82.57,2,70.91,Alkaline,Barley,9.05,2500,10.55,24.04,7.43,4,59.09,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Borax + Ferrous Sulphate + Zinc Sulphate,Gypsum
111.96,11.08,97.31,Laterite,Chickpea,7.23,1202.29,17.14,26.71,9.04,0,0,Ammonium Sulphate,Borax + Ferrous Sulphate,Balance Maintain
46.63,6.49,100.5,Alkaline,Barley,7.93,1370.25,11.8,34.25,43.37,0,29.5,Urea + MOP (Muriate of Potash),Borax + Ferrous Sulphate + Zinc Sulphate,Ferrous Sulphate
89.85,10.05,144.15,Arid,Maize,8,2165.97,6.3,31.67,43.15,0,0,Urea,Boric Acid + Ferrous Sulphate + Zinc Sulphate,Ammonium Sulphate
218.54,12.16,103.32,Clayey,Cotton,6.42,663.58,32.92,25.99,0,0,46.68,Potassium Carbonate,Copper Sulphate + Zinc Sulphate,Balance Maintain
77.83,2.64,133.25,Arid,Mustard,7.74,1280.79,7.8,27.13,55.17,3.36,0,DAP (Di-Ammonium Phosphate),Boric Acid + Ferrous Sulphate + Zinc Sulphate,Gypsum
73.05,18.69,134.06,Red,Mustard,6.18,835.48,29.54,31.85,0,9.31,0,DAP (Di-Ammonium Phosphate),Manganese Sulphate + Sodium Molybdate,Balance Maintain
141.26,46.84,247.1,Red,Chickpea,8.42,757.63,23.35,27.15,0,0,0,Balanced NPK (14-14-14),Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Aluminium Sulphate
65.5,8.24,100.29,Alkaline,Cotton,8.27,1188.96,16.38,28.12,24.5,0,29.71,Urea + MOP (Muriate of Potash),Ferrous Sulphate + Ammonium Molybdate,Gypsum
31.48,9.94,68.86,Alluvial,Ragi,5.61,253.43,20.62,24.74,78.52,0,83.14,Urea + MOP (Muriate of Potash),Manganese Sulphate + Zinc Sulphate,Quicklime
108.29,53.46,129.57,Alkaline,Garlic,8.13,238.02,24.85,25.16,0,0,0.43,Potassium Nitrate,Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Gypsum
99.15,11.74,118.54,Laterite,Cotton,6.31,704.7,23.24,25.23,21.85,0,0,Ammonium Nitrate,Manganese Sulphate + Sodium Molybdate,Balance Maintain
124.57,29.9,127.33,Red,Garlic,6.4,1326.64,27.63,20.24,0,0,0,Balanced NPK (14-14-14),Borax + Copper Sulphate,Balance Maintain
123.25,12.35,135.67,Clayey,Barley,6.37,1046.74,30.46,23.02,26.75,0,14.33,Urea + MOP (Muriate of Potash),Copper Sulphate + Zinc Sulphate,Balance Maintain
94.35,24.97,159.25,Red,Onion,6.1,1251.28,20.65,25.4,0,3.03,0,Rock Phosphate,Ferrous Sulphate + Ammonium Molybdate,Balance Maintain
151.28,5.3,77.31,Black,Soybean,7.01,835.42,30.87,32.69,0,2.7,69.69,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Borax + Ferrous Sulphate,Balance Maintain
137.16,4.91,165.08,Alluvial,Wheat,6.57,936.54,23.69,19.95,0,2.69,0,MAP (Mono-Ammonium Phosphate),Manganese Sulphate + Zinc Sulphate,Balance Maintain
139.49,13.49,114.79,Laterite,Soybean,6.03,768.4,21.23,23.73,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ferrous Sulphate,Balance Maintain
123.33,12.19,170.33,Alluvial,Onion,6.36,998.99,31.96,19.55,0,0,0,Balanced NPK (14-14-14),Manganese Sulphate + Zinc Sulphate,Balance Maintain
159.4,6.58,128.15,Black,Jowar,6.78,1160.24,32.82,29.72,0,1.42,18.85,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Borax + Ferrous Sulphate,Balance Maintain
171.84,2.08,123.61,Arid,Moong,7.58,1269.19,18.63,32.5,0,3.92,0,Rock Phosphate,Ferrous Sulphate + Sodium Molybdate,Ferrous Sulphate
52.76,2,130.72,Red,Moong,7.26,845.23,28.08,32.91,19.24,26,0,DAP (Di-Ammonium Phosphate),Borax + Zinc Sulphate,Balance Maintain
211.46,76.9,255.59,Clayey,Mustard,8.17,291.52,31.53,26.49,0,0,0,Balanced NPK (14-14-14),Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Aluminium Sulphate
122.7,14.74,75.35,Laterite,Rice,5.6,866.04,34.7,32.58,0,0,13.65,Potassium-Magnesium Sulphate,Ferrous Sulphate + Manganese Sulphate,Hydrated Lime
152.51,14.38,73.84,Clayey,Soybean,7.11,857.34,36.06,18.06,0,0,76.16,MOP (Muriate of Potash),Copper Sulphate + Zinc Sulphate,Balance Maintain
95.91,4.52,76.54,Alluvial,Moong,6.83,817.6,23.89,22.86,14.09,3.08,75.46,Balanced NPK (14-14-14),Ferrous Sulphate + Manganese Sulphate,Balance Maintain
80.93,10.01,119.88,Alkaline,Bajra,7.9,1574.67,17.48,26.7,9.07,0,10.12,Urea + MOP (Muriate of Potash),Ferrous Sulphate + Zinc Sulphate,Ammonium Sulphate
137.73,9.08,181.33,Clayey,Soybean,7.24,1204.17,20.26,27.29,12.27,0.92,0,DAP (Di-Ammonium Phosphate),Ferrous Sulphate + Sodium Molybdate,Balance Maintain
253.77,45.95,191.22,Arid,Maize,7.78,251.21,19.95,31.04,0,0,0,Balanced NPK (14-14-14),Ferrous Sulphate + Manganese Sulphate,Elemental Sulphur
119.51,10.6,114.79,Clayey,Groundnut,6.77,868.99,23.81,18.51,30.49,0,35.21,Urea + MOP (Muriate of Potash),Ammonium Molybdate + Zinc Sulphate,Balance Maintain
94.19,12.17,86.82,Alkaline,Wheat,9.06,343.73,16.61,26.41,0,0,43.18,Potassium Carbonate,Manganese Sulphate + Ammonium Molybdate,Gypsum
97.01,10.81,163.04,Clayey,Moong,6.4,859.53,25.41,27.02,52.99,0,0,Urea,Manganese Sulphate + Sodium Molybdate,Balance Maintain
104.06,46.25,257.51,Clayey,Sugarcane,8.01,595.35,20.54,21.11,45.94,0,0,Ammonium Sulphate,Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Ammonium Sulphate
207.5,40.79,122.9,Laterite,Wheat,7.83,679.95,18.57,29.79,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Gypsum
173.75,8.6,139.69,Clayey,Rice,6.83,646.09,37.11,29.62,0,1.4,10.31,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Manganese Sulphate + Zinc Sulphate,Balance Maintain
198.69,3.58,91.52,Arid,Cotton,7.63,748.6,18.39,36.71,0,2.42,22.48,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Manganese Sulphate + Zinc Sulphate,Ferrous Sulphate
110.12,14.1,93.63,Red,Jowar,6.73,426.66,19.02,27.99,0,13.9,30.37,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Borax + Manganese Sulphate,Balance Maintain
98.93,3.7,58.77,Red,Bajra,5.98,1162.39,27,24.8,0,24.3,65.23,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Manganese Sulphate + Zinc Sulphate,Agricultural Lime
108.98,14.15,182.65,Alluvial,Garlic,6.25,699.65,32.19,31.78,1.02,0,0,Ammonium Sulphate,Ferrous Sulphate + Manganese Sulphate,Balance Maintain
37.17,5.54,41.84,Laterite,Onion,6.31,370,17.36,28.65,83.83,3.46,47.16,Balanced NPK (14-14-14),Copper Sulphate + Manganese Sulphate,Balance Maintain
101.02,2,170.14,Alkaline,Mustard,8.69,1830.58,19.01,30.64,0,4,0,TSP (Triple Super Phosphate),Manganese Sulphate + Zinc Sulphate,Ferrous Sulphate
246.31,56.75,184.29,Alkaline,Onion,7.78,511.35,10.7,22.66,0,0,0,Balanced NPK (14-14-14),Boric Acid + Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Ferrous Sulphate
28.28,9.84,64.53,Clayey,Ragi,6.85,186.25,25.77,22.98,121.72,0.16,85.47,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Copper Sulphate + Manganese Sulphate,Balance Maintain
194.22,6.1,197.41,Clayey,Onion,6.12,1610.74,33.27,31.12,0,3.9,0,TSP (Triple Super Phosphate),Copper Sulphate + Manganese Sulphate,Balance Maintain
98.75,7.68,94.31,Arid,Jowar,8.05,2500,10.01,35.88,34.25,0,19.69,Urea + MOP (Muriate of Potash),Boric Acid + Ferrous Sulphate + Zinc Sulphate,Elemental Sulphur
106.83,7.49,232.75,Alluvial,Garlic,6.25,1234.99,22.19,29.47,3.17,0.11,0,DAP (Di-Ammonium Phosphate),Copper Sulphate + Manganese Sulphate,Balance Maintain
85.66,38.89,147.13,Red,Mustard,5.57,703.67,28.76,20.19,0,0,0,Balanced NPK (14-14-14),Boric Acid + Sodium Molybdate,Hydrated Lime
83.32,5.82,154.21,Alkaline,Onion,8.57,1018.97,23.09,31.72,6.68,0.18,0,DAP (Di-Ammonium Phosphate),Borax + Sodium Molybdate,Aluminium Sulphate
141.32,12.89,111.27,Laterite,Maize,6.18,881.06,19.42,34.82,0,0,0,Balanced NPK (14-14-14),Boric Acid + Zinc Sulphate,Balance Maintain
106.31,68.22,303.55,Alluvial,Soybean,8.54,308.35,27.66,30.82,3.69,0,0,Urea,Ferrous Sulphate + Zinc Sulphate,Aluminium Sulphate
66.73,7.07,106.71,Arid,Groundnut,8.45,1463.81,17.67,27.74,66.27,0,7.29,Urea + MOP (Muriate of Potash),Calcium Chloride + Zinc Sulphate,Elemental Sulphur
76.93,7.2,78.35,Arid,Chickpea,8.51,1382.54,9.73,31.71,56.07,0,35.65,Urea + MOP (Muriate of Potash),Boric Acid + Ferrous Sulphate + Zinc Sulphate,Ammonium Sulphate
125.9,6.66,116.86,Laterite,Mustard,6.35,976.42,27.32,23.49,0,2.34,0,DAP (Di-Ammonium Phosphate),Manganese Sulphate + Ammonium Molybdate,Balance Maintain
87.41,28.53,169.5,Red,Garlic,5.93,762.34,24.41,31.98,0,0,0,Balanced NPK (14-14-14),Ferrous Sulphate + Manganese Sulphate,Hydrated Lime
30.81,2.95,42.05,Laterite,Ragi,5.65,1114.29,17.21,25.32,90.19,6.05,46.95,Balanced NPK (14-14-14),Copper Sulphate + Manganese Sulphate,Hydrated Lime
62.83,3.48,54.59,Alkaline,Rice,8.02,1154.01,24.25,32.58,27.17,2.52,75.41,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Borax + Sodium Molybdate,Ferrous Sulphate
160.24,5.6,85.76,Arid,Groundnut,8.92,1201.25,7.51,39.84,0,0.4,28.24,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Borax + Ferrous Sulphate + Zinc Sulphate,Aluminium Sulphate
202.52,16.48,79.35,Clayey,Barley,6.53,760.27,23.73,28.91,0,0,70.65,Potassium Nitrate,Boric Acid + Manganese Sulphate,Balance Maintain
59.06,22.45,117.75,Red,Maize,6.05,583.14,26.37,29.14,12.94,5.55,6.25,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Copper Sulphate + Zinc Sulphate,Balance Maintain
101.58,4.92,62.38,Alkaline,Mustard,5.38,237.94,18.89,29.28,0,1.08,67.62,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Manganese Sulphate + Ammonium Molybdate,Quicklime
93.86,6.76,159.61,Black,Maize,7.13,1077.81,21.74,25.72,21.14,1.24,0,DAP (Di-Ammonium Phosphate),Copper Sulphate + Manganese Sulphate,Balance Maintain
176.34,3.41,118.67,Alluvial,Chickpea,6.49,1230.69,19.38,21.08,0,4.19,33.33,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Boric Acid + Sodium Molybdate,Balance Maintain
76.02,6.54,129.36,Alkaline,Chickpea,8.98,2500,22.37,25.56,13.98,0,0.64,Urea + MOP (Muriate of Potash),Borax + Manganese Sulphate,Elemental Sulphur
76.57,5.47,127.86,Arid,Sugarcane,6.7,329.1,14.88,37.31,56.43,0.53,0,DAP (Di-Ammonium Phosphate),Boric Acid + Manganese Sulphate,Balance Maintain
213.34,73.48,253.44,Black,Barley,8.47,608.08,32.37,30.54,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Elemental Sulphur
240.94,74.87,106.43,Arid,Groundnut,7.76,695.49,6.93,28.03,0,0,7.57,Potassium Carbonate,Boric Acid + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Elemental Sulphur
111.82,4.35,130.93,Arid,Onion,8.17,1680.19,12.61,22.11,21.18,1.65,0,DAP (Di-Ammonium Phosphate),Boric Acid + Ferrous Sulphate + Zinc Sulphate,Aluminium Sulphate
150.68,3.64,89.66,Laterite,Garlic,6.04,1103.39,25.8,31.7,0,5.36,0,SSP (Single Super Phosphate),Boric Acid + Ferrous Sulphate,Balance Maintain
