Temperature,Humidity,Moisture,Soil_Type,Crop,Nitrogen,Phosphorus,Potassium,pH,EC(mmhos/cm2),N_Status,P_Status,K_Status,Primary_Fertilizer,Secondary_Fertilizer,pH_Amendment
26.9,80,54,Clayey,moong,94,67,52,6.971534247,1.29,High,High,Optimal,Balanced NPK (maintenance),Magnesium Sulphate + Zinc Sulphate mixture,Sulphur
21,94,63,Alkaline soil,sugarcane,32,63,36,7.31,2.16,Low,High,Low,Split N doses,Ammonium Molybdate + Zinc Sulphate mixture,Gypsum
11.5,43,40,Alluvial,barley,74,6,53,6.971534247,1.47,Optimal,Low,Optimal,Balanced NPK (maintenance),Ammonium Molybdate + Zinc Sulphate mixture,None
19.6,70,61,Alluvial,mustard,50,73,69,6.971534247,0.98,Optimal,High,Optimal,Stop K,Borax + Zinc Sulphate mixture,Gypsum
21.8,64,50,Clayey,garlic,101,31,86,6.971534247,1.3,High,Optimal,High,Muriate of Potash (MOP),Zinc Sulphate,None
10.8,39,48,Red,sugarcane,15,40,109,9.24,3.69,Low,Optimal,High,Ammonium Chloride,Ammonium Molybdate + Zinc Sulphate mixture,Sulphur
29,61,32,Clayey,maize,11,90,107,6.971534247,0.61,Low,High,High,Balanced NPK (maintenance),Zinc Sulphate,Gypsum
14.2,72,35,Red,soyabean,22,63,59,6.971534247,0.71,Low,High,Optimal,Reduce N,Ferrous Sulphate,None
23.6,40,64,Black,bajra,28,65,34,9.45,2.47,Low,High,Low,Urea,Zinc Sulphate + Borax mixture,Gypsum
26.5,82,96,Red,soyabean,64,69,121,6.971534247,0.93,Optimal,High,High,Diammonium Phosphate (DAP),Magnesium Sulphate,Compost (Coffee prefers slightly acidic)
24.4,39,72,Black,chickpea,65,78,75,6.85,2.01,Optimal,High,Optimal,Rock Phosphate,Zinc Sulphate + Borax mixture,Gypsum + Sulphur
33.3,67,38,Laterite,groundnut,66,71,44,6.971534247,1.31,Optimal,High,Optimal,Ammonium Sulphate,Ammonium Molybdate + Zinc Sulphate mixture,Wood ash + Biochar
29.3,48,52,Arid,garlic,35,50,97,6.971534247,0.7,Optimal,Optimal,High,Stop P,Zinc Sulphate,None
10.9,86,74,Black,mustard,25,59,72,6.971534247,1.49,Low,Optimal,Optimal,Monoammonium Phosphate (MAP),Ferrous Sulphate + Manganese Sulphate mixture,None
25.2,48,28,Alkaline soil,jowar,105,38,34,6.971534247,0.96,High,Optimal,Low,Stop P,Magnesium Sulphate,None
20,68,41,Alluvial,sugarcane,110,44,55,6.38,1.77,High,Optimal,Optimal,Rock Phosphate,Ferrous Sulphate + Manganese Sulphate mixture,Gypsum + Sulphur
29.3,79,47,Clayey,groundnut,51,88,116,6.971534247,0.82,Optimal,High,High,Ammonium Chloride,Borax + Ammonium Molybdate mixture,None
25.8,73,100,Clayey,maize,82,92,51,6.971534247,0.56,High,High,Optimal,Stop P,Borax + Ammonium Molybdate mixture,Sulphur (Tea prefers acidic)
30.9,42,19,Red,barley,66,92,113,6.971534247,0.79,Optimal,High,High,Ammonium Sulphate,Ammonium Molybdate + Zinc Sulphate mixture,None
28,79,95,Clayey,garlic,28,38,107,6.971534247,1.47,Low,Optimal,High,Reduce N,Ferrous Sulphate + Zinc Sulphate mixture,None
26.2,58,80,Alkaline soil,maize,55,29,85,6.89,1.45,Optimal,Optimal,High,Calcium Ammonium Nitrate,Borax + Ammonium Molybdate mixture,Gypsum
30.2,60,65,Alkaline soil,rice,6,31,18,6.971534247,0.94,Low,Optimal,Low,Muriate of Potash (MOP),Manganese Sulphate,None
21.6,52,52,Laterite,cotton,12,18,25,6.56,1.35,Low,Low,Low,Avoid N,Borax + Elemental Sulphur mixture,Sulphur
31.7,71,52,Clayey,onion,94,12,67,6.971534247,1.32,High,Low,Optimal,Diammonium Phosphate (DAP),Zinc Sulphate + Borax mixture,None
26.3,53,32,Arid,garlic,106,51,83,6.971534247,0.67,High,Optimal,High,Sulphate of Potash (SOP),Ferrous Sulphate + Zinc Sulphate mixture,None
27.6,47,52,Red,moong,109,41,77,6.971534247,1.21,High,Optimal,High,Avoid N,Borax + Elemental Sulphur mixture,None
36.5,78,80,Arid,maize,39,87,43,6.971534247,1.07,Low,High,Optimal,Reduce N,Magnesium Sulphate + Zinc Sulphate mixture,None
20.1,50,60,Alkaline soil,barley,38,67,56,6.971534247,0.82,Optimal,High,Optimal,Ammonium Sulphate,Zinc Sulphate,Compost (Coffee prefers slightly acidic)
17.7,48,71,Alluvial,barley,104,45,14,6.971534247,1.1,High,Optimal,Low,Stop P,Rhizobium Biofertilizer + Zinc Sulphate mixture,Compost (Coffee prefers slightly acidic)
30,72,34,Black,ragi,47,32,107,6.971534247,0.83,Optimal,Optimal,High,Urea,Borax + Zinc Sulphate mixture,None
23.2,58,38,Alluvial,garlic,54,76,80,7.62,2.22,Optimal,High,High,Single Super Phosphate (SSP),Ferrous Sulphate + Zinc Sulphate mixture,Gypsum
22.2,66,24,Alluvial,sugarcane,22,87,99,9.21,4.13,Low,High,High,Avoid Phosphate application,Borax + Zinc Sulphate mixture,Gypsum
14.3,84,70,Alkaline soil,jowar,85,17,17,6.971534247,0.58,High,Low,Low,Single Super Phosphate (SSP),Ferrous Sulphate + Zinc Sulphate mixture,Gypsum + Organic matter
27,76,28,Black,moong,78,64,65,6.971534247,1.33,Optimal,High,Optimal,Calcium Ammonium Nitrate,Zinc Sulphate + Borax mixture,Gypsum + Organic matter
30.5,64,49,Black,mustard,98,67,100,9.04,3.64,High,High,High,Balanced NPK (maintenance),Rhizobium Biofertilizer + Zinc Sulphate mixture,Gypsum
16.7,43,73,Alluvial,chickpea,19,8,16,6.971534247,0.77,Low,Low,Low,Avoid Potash,Zinc Sulphate + Manganese Sulphate mixture,Gypsum + Organic matter
31.5,47,22,Alluvial,wheat,17,73,57,8.45,2.02,Low,High,Optimal,Ammonium Sulphate,Zinc Sulphate,Gypsum + Sulphur
29.9,39,28,Black,barley,83,11,64,6.971534247,0.84,High,Low,Optimal,Reduce N,Magnesium Sulphate,Wood ash + Biochar
13.7,89,51,Black,onion,92,80,66,6.971534247,1.37,High,High,Optimal,Sulphate of Potash (SOP),Zinc Sulphate,Organic matter composts
28,65,78,Laterite,barley,69,39,46,6.971534247,0.79,Optimal,Optimal,Optimal,Stop K,Borax + Elemental Sulphur mixture,None
20.7,41,81,Laterite,rice,68,40,120,6.971534247,1.2,Optimal,Optimal,High,Monoammonium Phosphate (MAP),Magnesium Sulphate + Zinc Sulphate mixture,None
13,43,23,Black,mustard,62,72,18,6.971534247,1.31,Optimal,High,Low,Rock Phosphate,Ferrous Sulphate + Zinc Sulphate mixture,None
11.1,70,75,Arid,wheat,35,20,51,6.971534247,1.24,Low,Low,Optimal,Avoid Potash,Zinc Sulphate + Manganese Sulphate mixture,None
29.8,91,29,Red,cotton,88,58,21,6.971534247,1.26,High,Optimal,Low,Urea Ammonium Nitrate (UAN),Ammonium Molybdate + Zinc Sulphate mixture,Sulphur
36.2,37,72,Arid,cotton,18,89,110,6.971534247,1.37,Low,High,High,Ammonium Sulphate,Magnesium Sulphate,Gypsum
16.5,71,45,Alkaline soil,moong,89,14,74,6.971534247,0.52,High,Low,Optimal,Avoid N,Borax + Zinc Sulphate mixture,Gypsum
12.7,76,34,Laterite,mustard,63,25,114,6.971534247,0.89,Optimal,Low,High,Avoid Potash,Rhizobium Biofertilizer + Zinc Sulphate mixture,None
23.2,90,60,Laterite,garlic,91,27,8,6.971534247,1.09,High,Low,Low,Calcium Ammonium Nitrate,Zinc Sulphate + Manganese Sulphate mixture,Gypsum
17.5,32,35,Black,soyabean,18,41,26,6.971534247,1.49,Low,Optimal,Low,Ammonium Sulphate,Zinc Sulphate,Wood ash + Biochar
14,54,32,Alkaline soil,moong,40,8,67,6.971534247,0.73,Optimal,Low,Optimal,Calcium Ammonium Nitrate (CAN),Zinc Sulphate + Manganese Sulphate mixture,None
22.7,85,80,Red,moong,31,88,49,6.971534247,1.04,Low,High,Optimal,Monoammonium Phosphate (MAP),Ferrous Sulphate + Manganese Sulphate mixture,Wood ash + Biochar
23.2,52,46,Black,rice,20,65,22,6.971534247,1.45,Low,High,Low,Stop P,Borax + Zinc Sulphate mixture,None
21.6,34,47,Red,bajra,124,9,35,6.971534247,0.7,High,Low,Optimal,Reduce N,Magnesium Sulphate + Zinc Sulphate mixture,None
16.3,94,80,Alkaline soil,cotton,69,42,19,6.971534247,1.1,Optimal,Optimal,Low,Muriate of Potash (MOP),Borax + Zinc Sulphate mixture,Organic matter composts
18.8,86,22,Alkaline soil,maize,32,58,92,6.971534247,0.76,Low,Optimal,High,Ammonium Chloride,Manganese Sulphate,Lime
19.3,65,45,Clayey,rice,115,77,85,6.971534247,1.35,High,High,High,Stop P,Gypsum + Borax mixture,None
21,83,86,Clayey,onion,50,95,56,6.971534247,1.25,Optimal,High,Optimal,Urea Ammonium Nitrate (UAN),Gypsum + Borax mixture,Sulphur (Tea prefers acidic)
23.4,31,47,Arid,onion,26,36,47,6.971534247,0.73,Low,Optimal,Optimal,Monoammonium Phosphate (MAP),Zinc Sulphate,None
23.9,70,68,Arid,garlic,19,9,113,6.971534247,0.67,Low,Low,High,Split N doses,Rhizobium Biofertilizer + Zinc Sulphate mixture,None
30.8,30,41,Clayey,onion,73,78,58,6.971534247,1.22,Optimal,High,Optimal,Urea,Ferrous Sulphate,None
24.3,85,37,Alkaline soil,rice,46,102,103,6.971534247,0.55,Optimal,High,High,Ammonium Chloride,Ferrous Sulphate + Zinc Sulphate mixture,None
20.2,44,49,Red,garlic,110,67,121,6.971534247,0.54,High,High,High,Avoid Phosphate application,Gypsum + Borax mixture,Gypsum + Sulphur
17.3,46,37,Red,maize,12,92,63,6.971534247,1.08,Low,High,Optimal,Reduce N,Gypsum + Borax mixture,Compost (Coffee prefers slightly acidic)
24.6,40,62,Laterite,cotton,54,42,117,6.971534247,1.12,Optimal,Optimal,High,Single Super Phosphate (SSP),Manganese Sulphate,Sulphur (Tea prefers acidic)
19,68,69,Alluvial,mustard,19,33,92,6.971534247,0.62,Low,Optimal,High,Ammonium Chloride,Zinc Sulphate + Manganese Sulphate mixture,None
25.1,87,48,Black,barley,90,80,81,6.971534247,1.3,High,High,High,Triple Super Phosphate (TSP),Borax + Elemental Sulphur mixture,None
19.8,68,56,Black,cotton,93,99,36,9.16,3.93,High,High,Low,Urea Ammonium Nitrate (UAN),Ferrous Sulphate + Manganese Sulphate mixture,Organic matter composts
12.3,59,56,Clayey,bajra,6,99,102,6.971534247,1.26,Low,High,High,Rock Phosphate,Zinc Sulphate + Manganese Sulphate mixture,Sulphur (Tea prefers acidic)
30.3,52,66,Clayey,sugarcane,97,42,22,6.971534247,0.55,High,Optimal,Low,Split N doses,Ferrous Sulphate,Gypsum + Sulphur
29.7,47,69,Red,maize,36,22,65,6.971534247,1.06,Optimal,Low,Optimal,Stop K,Borax + Zinc Sulphate mixture,Gypsum
32.2,35,33,Laterite,garlic,98,52,118,6.971534247,0.98,High,Optimal,High,Balanced NPK (maintenance),Ammonium Molybdate + Zinc Sulphate mixture,Wood ash + Biochar
22.8,52,44,Arid,maize,126,77,25,6.971534247,0.83,High,High,Low,Avoid N,Borax + Ammonium Molybdate mixture,Compost (Coffee prefers slightly acidic)
31.4,68,73,Alluvial,moong,73,96,87,6.971534247,0.75,Optimal,High,High,Triple Super Phosphate (TSP),Ferrous Sulphate + Manganese Sulphate mixture,None
26.7,51,67,Laterite,chickpea,89,73,27,6.63,1.47,High,High,Low,Avoid N,Borax + Zinc Sulphate mixture,Organic matter composts
21,92,74,Black,sugarcane,27,57,93,6.971534247,1.4,Low,Optimal,High,Rock Phosphate,Rhizobium Biofertilizer + Zinc Sulphate mixture,Wood ash + Biochar
24,75,28,Alluvial,cotton,45,10,53,6.971534247,1.05,Optimal,Low,Optimal,Sulphate of Potash (SOP),Ferrous Sulphate,Gypsum + Sulphur
32.9,53,36,Laterite,barley,41,35,72,6.971534247,1.28,Low,Optimal,Optimal,Stop P,Gypsum + Borax mixture,Sulphur
26.7,35,78,Clayey,moong,28,76,86,9.15,2.66,Low,High,High,Monoammonium Phosphate (MAP),Magnesium Sulphate + Zinc Sulphate mixture,Organic matter composts
24.1,92,41,Arid,chickpea,66,83,90,6.971534247,1.25,Optimal,High,High,Avoid N,Ammonium Molybdate + Zinc Sulphate mixture,Sulphur (Tea prefers acidic)
29.3,48,52,Arid,garlic,35,50,97,6.971534247,0.7,Optimal,Optimal,High,Stop P,Zinc Sulphate,None
26.7,55,50,Clayey,garlic,107,44,75,6.971534247,0.99,High,Optimal,Optimal,Muriate of Potash (MOP),Rhizobium Biofertilizer + Zinc Sulphate mixture,Sulphur
31.7,38,66,Black,cotton,61,84,108,6.971534247,1.12,Optimal,High,High,Stop K,Zinc Sulphate + Manganese Sulphate mixture,None
28.5,55,33,Alluvial,chickpea,13,48,88,6.971534247,0.84,Low,Optimal,High,Urea Ammonium Nitrate (UAN),Manganese Sulphate,None
28.3,51,32,Black,moong,122,45,103,6.971534247,0.76,High,Optimal,High,Single Super Phosphate (SSP),Ferrous Sulphate + Manganese Sulphate mixture,Wood ash + Biochar
16.5,30,43,Red,cotton,26,70,24,6.971534247,0.97,Low,High,Low,Muriate of Potash (MOP),Zinc Sulphate + Manganese Sulphate mixture,Compost (Coffee prefers slightly acidic)
18.6,88,28,Alluvial,wheat,74,31,83,9.31,3.71,Optimal,Optimal,High,Ammonium Nitrate,Ferrous Sulphate + Manganese Sulphate mixture,Gypsum + Sulphur
35.5,84,61,Red,bajra,90,62,80,7.67,2.09,High,High,Optimal,Stop K,Ferrous Sulphate + Zinc Sulphate mixture,Gypsum
23.7,86,30,Black,soyabean,21,33,86,6.971534247,1.17,Low,Optimal,High,Diammonium Phosphate (DAP),Ferrous Sulphate,None
25.7,86,29,Black,garlic,37,60,47,7.51,1.28,Optimal,Optimal,Optimal,Stop K,Zinc Sulphate + Manganese Sulphate mixture,Gypsum + Sulphur
34.4,59,36,Alkaline soil,bajra,106,18,42,9.16,2.4,High,Low,Optimal,Avoid Phosphate application,Borax + Zinc Sulphate mixture,Gypsum
24.9,33,32,Alluvial,ragi,21,48,81,6.971534247,1.35,Low,Optimal,High,Ammonium Nitrate,Ammonium Molybdate + Zinc Sulphate mixture,Sulphur
23.1,65,65,Laterite,sugarcane,23,73,90,6.971534247,0.68,Low,High,High,Muriate of Potash (MOP),Borax + Ammonium Molybdate mixture,None
20.6,74,82,Laterite,bajra,22,51,47,6.96,2.17,Low,Optimal,Optimal,Single Super Phosphate (SSP),Ferrous Sulphate + Zinc Sulphate mixture,Sulphur
19.2,95,61,Alluvial,maize,46,61,96,6.971534247,0.54,Optimal,High,High,Calcium Ammonium Nitrate (CAN),Borax + Elemental Sulphur mixture,None
19.3,95,34,Alluvial,barley,33,41,12,6.971534247,1.1,Low,Optimal,Low,Ammonium Sulphate,Ferrous Sulphate + Manganese Sulphate mixture,Compost (Coffee prefers slightly acidic)
15.2,85,73,Arid,garlic,111,90,74,6.971534247,0.87,High,High,Optimal,Ammonium Chloride,Magnesium Sulphate,Compost (Coffee prefers slightly acidic)
20.5,46,44,Red,soyabean,78,22,18,6.971534247,0.56,High,Low,Low,Avoid Phosphate application,Ferrous Sulphate + Manganese Sulphate mixture,None
28.3,41,68,Alluvial,bajra,67,22,19,6.971534247,1.14,Optimal,Low,Low,Urea Ammonium Nitrate (UAN),Zinc Sulphate + Manganese Sulphate mixture,None
18.9,32,73,Red,moong,22,61,76,6.971534247,0.62,Low,Optimal,Optimal,Reduce N,Ferrous Sulphate + Zinc Sulphate mixture,Wood ash + Biochar
25.3,73,72,Clayey,cotton,21,78,51,6.971534247,1.3,Low,High,Optimal,Balanced NPK (maintenance),Zinc Sulphate + Manganese Sulphate mixture,Sulphur (Tea prefers acidic)
