Nitrogen(mg/kg),Phosphorus(mg/kg),Potassium(mg/kg),Crop_Type,pH,Electrical_Conductivity,Soil_Moisture,Soil_Temperture,N_Status,P_Status,K_Status,Primary_Fertilizer,pH_Amendment
70,12,161,Onion,7.63,1465,63,25,Optimal,Low,Optimal,calcium_ammonium_nitrate_can,Aluminium Sulphate
113,28,191,Mustard,7.21,2005,62,22,Low,Optimal,Low,potassium_carbonate,Balance Maintain
119,34,110,Maize,6.19,2816,65,28,Optimal,Optimal,Optimal,urea,Ferrous Sulphate
182,23,153,Moong,5.66,1122,54,28,Optimal,Low,Low,potassium_magnesium_sulphate,Agricultural Lime
119,15,102,Groundnut,7.95,2416,66,23,Optimal,Optimal,Low,urea_ammonium_nitrate_uan,Ferrous Sulphate
173,28,115,Soybean,8.25,1669,52,26,Optimal,Optimal,Low,single_super_phosphate_ssp,Elemental Sulphur
63,26,178,Mustard,5.53,1083,66,16,Low,Low,Optimal,dap_mop_mixture,Hydrated Lime
178,30,99,Wheat,8.29,1243,71,24,Optimal,Low,Optimal,potassium_nitrate,Wood Ash
80,25,182,Rice,8.43,2736,52,26,Low,Optimal,Optimal,potassium_nitrate,Ferrous Sulphate
54,17,127,Maize,6.13,2964,55,27,Low,Low,Optimal,urea,Agricultural Lime
131,22,72,Maize,7.0,2776,72,30,Low,Low,Optimal,muriate_of_potash_mop,Dolomite
200,35,74,Chickpea,7.52,1177,68,18,Low,Low,Optimal,triple_super_phosphate_tsp,Hydrated Lime
124,23,135,Moong,7.71,3048,71,27,Low,Optimal,Optimal,potassium_nitrate,Quicklime
195,35,133,Maize,8.43,2368,62,16,Optimal,Optimal,Low,potassium_magnesium_sulphate,Ammonium Sulphate
133,33,172,Cotton,6.93,903,56,18,Low,Optimal,Optimal,potassium_nitrate,Elemental Sulphur
49,17,80,Moong,6.54,2215,50,30,Optimal,Optimal,Low,triple_super_phosphate_tsp,Agricultural Lime
43,32,71,Maize,8.29,1505,74,30,Optimal,Optimal,Low,muriate_of_potash_mop,Elemental Sulphur
54,23,141,Maize,6.0,2540,60,28,Optimal,Low,Low,monoammonium_phosphate_map,Aluminium Sulphate
182,12,72,Ragi,6.04,2892,61,20,Optimal,Low,Low,muriate_of_potash_mop,Dolomite
86,24,159,Mustard,7.92,2543,50,23,Optimal,Optimal,Optimal,balanced_npk_maintenance,Ammonium Sulphate
109,18,180,Maize,8.29,1649,71,18,Low,Low,Optimal,muriate_of_potash_mop,Dolomite
114,33,129,Onion,6.22,2956,58,30,Low,Low,Optimal,triple_super_phosphate_tsp,Ferrous Sulphate
50,29,143,Garlic,5.68,2911,64,22,Low,Optimal,Optimal,urea_dap_mixture,Aluminium Sulphate
132,15,148,Onion,8.28,1179,57,21,Low,Optimal,Optimal,ammonium_chloride,Hydrated Lime
84,16,178,Chickpea,6.1,2433,70,25,Low,Low,Low,urea,Balance Maintain
133,12,175,Ragi,7.81,3107,53,24,Low,Low,Low,ammonium_nitrate,Gypsum
77,14,156,Wheat,6.01,3247,76,15,Optimal,Low,Low,ammonium_chloride,Hydrated Lime
152,15,112,Garlic,8.09,2954,58,28,Optimal,Low,Optimal,ammonium_chloride,Agricultural Lime
73,21,159,Barley,6.0,3455,73,25,Optimal,Low,Low,balanced_npk_maintenance,Dolomite
178,24,111,Sugarcane,6.66,2180,77,25,Low,Low,Low,urea_mop_mixture,Dolomite
156,28,95,Sugarcane,6.89,943,58,25,Optimal,Low,Optimal,ammonium_nitrate,Wood Ash
120,27,163,Wheat,7.21,3365,68,25,Optimal,Low,Low,balanced_npk_maintenance,Agricultural Lime
71,33,81,Sugarcane,5.69,3499,76,26,Low,Low,Optimal,potassium_carbonate,Gypsum
151,28,91,Jowar,5.54,2680,77,24,Low,Low,Low,calcium_ammonium_nitrate_can,Agricultural Lime
167,27,114,Barley,6.64,3493,70,16,Optimal,Low,Optimal,potassium_carbonate,Dolomite
87,32,78,Cotton,6.62,2281,50,15,Optimal,Optimal,Low,muriate_of_potash_mop,Balance Maintain
44,30,76,Garlic,7.2,1652,66,30,Low,Low,Optimal,rock_phosphate,Elemental Sulphur
133,12,192,Rice,8.34,1184,65,26,Low,Low,Optimal,rock_phosphate,Ammonium Sulphate
178,11,182,Moong,7.02,1308,79,16,Low,Low,Optimal,sulphate_of_potash_sop,Agricultural Lime
150,10,109,Barley,7.69,2898,67,23,Low,Low,Low,calcium_ammonium_nitrate_can,Ferrous Sulphate
150,11,124,Wheat,7.14,1338,58,23,Optimal,Low,Optimal,monoammonium_phosphate_map,Balance Maintain
161,17,185,Maize,6.62,3023,79,25,Optimal,Optimal,Optimal,monoammonium_phosphate_map,Ferrous Sulphate
45,24,77,Onion,8.1,2410,62,23,Low,Optimal,Low,urea_mop_mixture,Quicklime
195,35,104,Groundnut,6.42,1696,51,16,Low,Optimal,Optimal,urea_dap_mixture,Agricultural Lime
68,20,143,Groundnut,5.58,1404,57,17,Optimal,Low,Low,diammonium_phosphate_dap,Agricultural Lime
84,18,160,Wheat,6.68,2055,77,25,Low,Optimal,Optimal,ammonium_sulphate,Wood Ash
53,31,94,Chickpea,7.42,1371,69,25,Optimal,Optimal,Low,muriate_of_potash_mop,Aluminium Sulphate
42,15,75,Soybean,5.5,2963,54,19,Low,Optimal,Low,urea_mop_mixture,Quicklime
188,28,198,Cotton,8.48,2135,78,30,Low,Low,Low,potassium_nitrate,Ferrous Sulphate
128,16,128,Groundnut,5.93,844,65,23,Optimal,Low,Optimal,balanced_npk_maintenance,Wood Ash
73,27,62,Jowar,7.86,2853,74,26,Optimal,Optimal,Low,muriate_of_potash_mop,Quicklime
47,34,193,Soybean,7.94,2666,59,17,Optimal,Optimal,Low,urea_dap_mixture,Quicklime
87,33,109,Groundnut,6.18,2217,59,30,Low,Low,Optimal,potassium_carbonate,Dolomite
71,24,118,Maize,7.89,2845,53,22,Optimal,Low,Optimal,potassium_nitrate,Dolomite
178,30,114,Chickpea,5.68,2270,63,23,Low,Optimal,Low,diammonium_phosphate_dap,Ammonium Sulphate
157,26,119,Wheat,6.8,3107,73,26,Low,Low,Optimal,monoammonium_phosphate_map,Elemental Sulphur
124,22,85,Ragi,6.23,2552,65,27,Optimal,Optimal,Low,diammonium_phosphate_dap,Ferrous Sulphate
169,17,143,Sugarcane,6.28,2868,53,17,Optimal,Optimal,Optimal,muriate_of_potash_mop,Hydrated Lime
172,28,102,Moong,7.92,3497,72,18,Optimal,Optimal,Low,calcium_ammonium_nitrate_can,Ferrous Sulphate
44,11,167,Mustard,6.42,1185,70,26,Optimal,Optimal,Low,single_super_phosphate_ssp,Ferrous Sulphate
93,13,127,Onion,6.92,3371,50,15,Optimal,Low,Optimal,rock_phosphate,Hydrated Lime
91,12,167,Chickpea,6.16,3256,54,19,Optimal,Optimal,Optimal,ammonium_chloride,Wood Ash
126,28,173,Barley,7.53,2749,73,24,Optimal,Optimal,Optimal,urea_mop_mixture,Ferrous Sulphate
62,16,197,Bajra,5.69,3401,60,30,Low,Low,Low,diammonium_phosphate_dap,Dolomite
116,30,174,Onion,6.71,2250,51,26,Optimal,Optimal,Low,triple_super_phosphate_tsp,Balance Maintain
126,34,156,Wheat,8.48,1053,51,15,Low,Optimal,Low,muriate_of_potash_mop,Dolomite
124,14,167,Jowar,6.27,2027,55,16,Low,Optimal,Low,calcium_ammonium_nitrate_can,Ammonium Sulphate
51,29,82,Barley,7.02,1149,71,30,Optimal,Low,Low,urea_mop_mixture,Ammonium Sulphate
181,31,193,Wheat,7.53,1784,74,26,Optimal,Low,Optimal,rock_phosphate,Wood Ash
155,28,170,Barley,5.71,2938,69,28,Low,Optimal,Optimal,ammonium_sulphate,Agricultural Lime
181,13,107,Bajra,6.95,925,56,16,Low,Optimal,Low,diammonium_phosphate_dap,Ammonium Sulphate
71,16,113,Bajra,6.53,1481,77,30,Low,Optimal,Optimal,ammonium_nitrate,Elemental Sulphur
63,22,99,Wheat,7.1,1093,69,26,Optimal,Optimal,Low,rock_phosphate,Elemental Sulphur
127,28,199,Soybean,5.9,1332,57,17,Low,Low,Optimal,potassium_carbonate,Ferrous Sulphate
125,10,175,Maize,6.63,3398,75,29,Optimal,Low,Optimal,urea,Aluminium Sulphate
127,10,155,Wheat,7.08,3049,71,27,Optimal,Optimal,Low,ammonium_nitrate,Balance Maintain
190,30,100,Garlic,7.4,1403,78,15,Low,Low,Low,urea_ammonium_nitrate_uan,Balance Maintain
193,17,161,Chickpea,5.67,1326,68,22,Low,Low,Low,sulphate_of_potash_sop,Wood Ash
78,11,100,Maize,6.72,2753,68,29,Low,Optimal,Low,potassium_nitrate,Ammonium Sulphate
191,15,101,Cotton,7.91,3386,57,27,Low,Optimal,Optimal,ammonium_chloride,Gypsum
143,26,99,Maize,6.62,2091,80,20,Low,Low,Low,potassium_nitrate,Wood Ash
81,22,158,Ragi,6.88,3460,74,15,Optimal,Low,Optimal,muriate_of_potash_mop,Ferrous Sulphate
166,13,142,Rice,6.47,1734,78,18,Low,Low,Optimal,rock_phosphate,Wood Ash
141,10,196,Garlic,8.07,1026,76,21,Low,Low,Low,sulphate_of_potash_sop,Ammonium Sulphate
41,19,95,Groundnut,8.38,1849,76,20,Optimal,Optimal,Low,urea_dap_mixture,Hydrated Lime
140,13,93,Wheat,6.12,2175,54,23,Optimal,Low,Low,diammonium_phosphate_dap,Aluminium Sulphate
78,11,124,Jowar,7.76,1039,65,18,Optimal,Optimal,Optimal,triple_super_phosphate_tsp,Elemental Sulphur
162,14,110,Moong,5.81,2972,76,18,Optimal,Optimal,Optimal,potassium_carbonate,Gypsum
47,29,153,Groundnut,6.46,1244,56,30,Optimal,Low,Low,potassium_carbonate,Balance Maintain
71,30,165,Bajra,7.1,2692,60,19,Optimal,Low,Low,ammonium_chloride,Ferrous Sulphate
105,12,172,Wheat,6.0,3168,64,29,Optimal,Low,Low,dap_mop_mixture,Ammonium Sulphate
74,31,104,Jowar,8.06,3010,65,27,Optimal,Optimal,Low,rock_phosphate,Hydrated Lime
173,19,140,Wheat,8.06,1958,61,24,Low,Optimal,Optimal,potassium_magnesium_sulphate,Wood Ash
43,22,180,Ragi,6.62,941,76,26,Low,Low,Low,triple_super_phosphate_tsp,Balance Maintain
41,10,143,Wheat,7.02,1323,78,24,Low,Optimal,Optimal,ammonium_chloride,Aluminium Sulphate
157,15,165,Sugarcane,5.83,1172,55,22,Optimal,Optimal,Optimal,sulphate_of_potash_sop,Aluminium Sulphate
186,22,151,Maize,8.35,2025,72,15,Optimal,Optimal,Optimal,urea_ammonium_nitrate_uan,Quicklime
119,21,148,Moong,5.98,2120,69,23,Low,Low,Optimal,urea_ammonium_nitrate_uan,Dolomite
172,26,152,Bajra,7.51,3033,67,15,Optimal,Optimal,Optimal,potassium_nitrate,Aluminium Sulphate
185,26,95,Barley,8.11,1926,77,19,Low,Optimal,Low,dap_mop_mixture,Gypsum
146,24,183,Jowar,5.68,2581,75,30,Optimal,Optimal,Optimal,urea_mop_mixture,Dolomite
168,25,62,Sugarcane,6.29,1668,59,18,Optimal,Optimal,Low,muriate_of_potash_mop,Balance Maintain
62,16,170,Wheat,8.15,1015,58,22,Low,Low,Low,rock_phosphate,Aluminium Sulphate
193,24,155,Chickpea,6.42,3366,72,17,Optimal,Optimal,Low,calcium_ammonium_nitrate_can,Gypsum
51,33,142,Barley,8.13,1150,80,18,Optimal,Low,Low,monoammonium_phosphate_map,Gypsum
190,13,126,Soybean,6.45,2554,52,17,Optimal,Low,Low,monoammonium_phosphate_map,Ferrous Sulphate
64,34,157,Moong,6.07,998,59,22,Low,Low,Optimal,potassium_nitrate,Gypsum
46,12,156,Wheat,8.26,1573,64,20,Optimal,Low,Optimal,triple_super_phosphate_tsp,Balance Maintain
49,28,69,Rice,6.01,1063,75,26,Optimal,Low,Optimal,ammonium_chloride,Balance Maintain
125,12,117,Soybean,7.08,1860,51,21,Optimal,Low,Low,ammonium_sulphate,Agricultural Lime
51,32,106,Rice,8.37,1783,62,19,Low,Low,Optimal,single_super_phosphate_ssp,Agricultural Lime
131,27,127,Garlic,5.77,3219,52,26,Optimal,Low,Optimal,urea_mop_mixture,Ammonium Sulphate
96,16,64,Bajra,7.17,3414,52,29,Optimal,Optimal,Low,urea_mop_mixture,Aluminium Sulphate
133,31,177,Moong,7.87,2640,72,19,Optimal,Low,Low,calcium_ammonium_nitrate_can,Agricultural Lime
178,18,101,Onion,6.74,2360,51,18,Low,Low,Low,dap_mop_mixture,Wood Ash
56,10,80,Chickpea,7.81,3038,60,17,Low,Optimal,Low,urea_ammonium_nitrate_uan,Aluminium Sulphate
105,24,193,Wheat,7.65,1640,58,27,Low,Optimal,Low,urea_dap_mixture,Dolomite
83,35,85,Mustard,6.51,1306,79,22,Optimal,Low,Low,calcium_ammonium_nitrate_can,Gypsum
62,26,66,Cotton,7.84,1460,64,23,Optimal,Low,Optimal,muriate_of_potash_mop,Quicklime
152,12,193,Wheat,7.31,1921,75,26,Optimal,Optimal,Low,potassium_magnesium_sulphate,Dolomite
102,12,144,Onion,8.0,2934,57,20,Low,Low,Optimal,rock_phosphate,Agricultural Lime
139,21,81,Barley,7.35,2160,66,23,Low,Low,Optimal,urea,Balance Maintain
161,35,75,Chickpea,8.14,1389,69,28,Low,Optimal,Optimal,ammonium_nitrate,Ferrous Sulphate
188,21,63,Barley,6.33,803,62,17,Optimal,Low,Low,urea,Ferrous Sulphate
57,32,129,Maize,6.99,2012,62,27,Optimal,Low,Low,ammonium_sulphate,Hydrated Lime
167,13,76,Ragi,6.51,2654,54,24,Optimal,Optimal,Optimal,ammonium_sulphate,Dolomite
48,28,127,Sugarcane,6.62,3017,62,28,Low,Low,Optimal,urea_mop_mixture,Ammonium Sulphate
182,20,199,Jowar,7.54,1031,50,22,Optimal,Optimal,Optimal,urea,Hydrated Lime
143,13,179,Soybean,6.34,2064,78,29,Low,Optimal,Optimal,monoammonium_phosphate_map,Aluminium Sulphate
137,17,184,Mustard,8.38,3438,74,21,Low,Low,Optimal,muriate_of_potash_mop,Ferrous Sulphate
115,25,110,Chickpea,7.06,1538,76,15,Low,Optimal,Optimal,potassium_carbonate,Quicklime
147,30,146,Sugarcane,6.3,2897,60,27,Low,Optimal,Optimal,urea_dap_mixture,Dolomite
106,21,84,Wheat,5.99,1165,78,23,Optimal,Optimal,Optimal,potassium_carbonate,Ferrous Sulphate
117,30,189,Cotton,8.24,1531,69,30,Optimal,Low,Low,ammonium_sulphate,Elemental Sulphur
169,20,75,Maize,7.31,3140,70,16,Optimal,Optimal,Low,potassium_nitrate,Aluminium Sulphate
137,17,189,Ragi,7.57,3069,71,25,Low,Low,Low,urea_ammonium_nitrate_uan,Elemental Sulphur
91,21,161,Bajra,8.43,1337,76,29,Optimal,Optimal,Optimal,rock_phosphate,Wood Ash
121,29,145,Maize,7.43,994,63,24,Optimal,Optimal,Optimal,muriate_of_potash_mop,Agricultural Lime
44,23,155,Barley,5.85,1565,70,29,Optimal,Optimal,Optimal,potassium_carbonate,Ammonium Sulphate
115,20,107,Moong,6.87,1332,71,16,Low,Low,Low,urea_ammonium_nitrate_uan,Hydrated Lime
136,10,174,Garlic,6.33,2669,68,19,Optimal,Low,Optimal,monoammonium_phosphate_map,Ferrous Sulphate
52,18,152,Bajra,7.88,3283,75,18,Optimal,Optimal,Low,monoammonium_phosphate_map,Aluminium Sulphate
101,10,156,Rice,7.9,2639,68,27,Optimal,Optimal,Optimal,ammonium_chloride,Aluminium Sulphate
173,23,97,Ragi,5.57,2499,71,17,Optimal,Optimal,Low,urea_dap_mixture,Ammonium Sulphate
200,14,163,Cotton,6.97,1549,59,18,Optimal,Low,Optimal,potassium_nitrate,Dolomite
138,30,190,Mustard,7.02,1404,50,17,Optimal,Optimal,Low,single_super_phosphate_ssp,Gypsum
102,16,125,Rice,6.28,2435,68,21,Low,Low,Optimal,rock_phosphate,Agricultural Lime
105,14,143,Rice,6.31,2510,61,18,Optimal,Optimal,Low,ammonium_nitrate,Ammonium Sulphate
94,22,142,Maize,6.32,3391,70,24,Optimal,Low,Optimal,triple_super_phosphate_tsp,Balance Maintain
170,16,96,Barley,7.54,894,76,19,Optimal,Low,Low,balanced_npk_maintenance,Quicklime
142,12,180,Groundnut,8.31,2976,72,24,Optimal,Optimal,Low,urea_ammonium_nitrate_uan,Hydrated Lime
151,17,152,Moong,8.28,1915,73,22,Optimal,Optimal,Optimal,triple_super_phosphate_tsp,Elemental Sulphur
189,20,65,Maize,8.47,1098,53,16,Optimal,Low,Low,potassium_magnesium_sulphate,Ferrous Sulphate
120,30,105,Moong,7.71,2809,54,30,Low,Optimal,Optimal,muriate_of_potash_mop,Dolomite
155,33,95,Sugarcane,6.81,3011,57,27,Optimal,Low,Low,balanced_npk_maintenance,Dolomite
90,17,98,Sugarcane,7.99,966,62,30,Optimal,Optimal,Optimal,single_super_phosphate_ssp,Agricultural Lime
82,14,105,Barley,5.66,2645,55,25,Low,Low,Low,potassium_magnesium_sulphate,Ferrous Sulphate
95,17,143,Garlic,8.25,2014,56,19,Optimal,Optimal,Low,sulphate_of_potash_sop,Balance Maintain
174,21,82,Onion,8.29,827,76,23,Low,Low,Optimal,urea,Ammonium Sulphate
117,33,74,Soybean,6.53,3196,80,23,Optimal,Optimal,Optimal,urea_mop_mixture,Ferrous Sulphate
150,16,115,Groundnut,5.9,2351,59,17,Low,Low,Low,balanced_npk_maintenance,Balance Maintain
75,31,94,Ragi,5.9,1181,80,30,Optimal,Low,Low,calcium_ammonium_nitrate_can,Ferrous Sulphate
160,20,100,Soybean,6.08,2552,58,17,Low,Optimal,Optimal,calcium_ammonium_nitrate_can,Hydrated Lime
168,29,146,Maize,7.47,813,76,21,Low,Optimal,Optimal,calcium_ammonium_nitrate_can,Ferrous Sulphate
88,11,122,Onion,8.39,1422,59,15,Optimal,Low,Low,urea_ammonium_nitrate_uan,Ferrous Sulphate
120,24,130,Bajra,5.88,1872,78,29,Optimal,Optimal,Low,single_super_phosphate_ssp,Wood Ash
192,13,95,Garlic,5.7,2465,53,28,Low,Optimal,Optimal,monoammonium_phosphate_map,Gypsum
90,10,92,Maize,8.12,3097,78,16,Optimal,Low,Optimal,potassium_carbonate,Dolomite
148,23,95,Wheat,7.1,2049,73,29,Low,Optimal,Low,ammonium_sulphate,Wood Ash
75,15,70,Chickpea,7.68,2282,53,20,Low,Low,Optimal,diammonium_phosphate_dap,Balance Maintain
179,11,117,Barley,8.26,1983,51,23,Low,Optimal,Low,ammonium_sulphate,Balance Maintain
101,16,98,Ragi,5.53,2162,75,23,Low,Low,Optimal,potassium_nitrate,Dolomite
59,27,129,Groundnut,5.96,1902,64,23,Optimal,Low,Low,single_super_phosphate_ssp,Hydrated Lime
96,19,189,Onion,6.49,1878,57,20,Optimal,Optimal,Low,triple_super_phosphate_tsp,Aluminium Sulphate
44,34,87,Ragi,6.58,1590,61,28,Low,Optimal,Optimal,diammonium_phosphate_dap,Hydrated Lime
187,33,77,Maize,8.33,2146,54,22,Low,Optimal,Optimal,calcium_ammonium_nitrate_can,Ferrous Sulphate
155,33,162,Jowar,7.67,1627,70,15,Low,Low,Low,single_super_phosphate_ssp,Aluminium Sulphate
200,18,123,Cotton,6.7,1521,59,24,Low,Low,Optimal,ammonium_chloride,Hydrated Lime
170,33,141,Garlic,7.73,1710,58,23,Low,Optimal,Low,diammonium_phosphate_dap,Ammonium Sulphate
164,34,149,Cotton,7.69,1200,61,18,Optimal,Low,Optimal,calcium_ammonium_nitrate_can,Hydrated Lime
180,35,190,Mustard,6.67,1995,51,20,Low,Optimal,Low,urea,Gypsum
184,18,138,Barley,5.89,1584,78,28,Optimal,Low,Low,rock_phosphate,Balance Maintain
63,24,167,Maize,7.64,3236,56,27,Optimal,Optimal,Optimal,potassium_nitrate,Ammonium Sulphate
130,13,69,Maize,7.39,1413,58,15,Low,Low,Low,calcium_ammonium_nitrate_can,Gypsum
80,26,200,Barley,7.9,2666,52,24,Optimal,Low,Optimal,urea_mop_mixture,Wood Ash
57,25,79,Sugarcane,5.89,3390,71,22,Low,Optimal,Low,urea_dap_mixture,Dolomite
156,23,132,Wheat,6.91,3345,79,24,Optimal,Optimal,Optimal,ammonium_nitrate,Hydrated Lime
44,22,172,Bajra,5.65,3287,52,21,Low,Low,Low,urea_ammonium_nitrate_uan,Ferrous Sulphate
57,28,107,Ragi,5.94,1991,70,30,Optimal,Optimal,Low,ammonium_nitrate,Ferrous Sulphate
129,33,98,Cotton,8.01,1040,80,24,Optimal,Low,Low,rock_phosphate,Gypsum
43,28,156,Garlic,7.0,1629,51,22,Optimal,Optimal,Low,rock_phosphate,Ammonium Sulphate
74,33,169,Cotton,8.25,808,54,24,Low,Optimal,Low,muriate_of_potash_mop,Gypsum
122,35,132,Ragi,6.72,1998,58,28,Low,Optimal,Low,potassium_nitrate,Hydrated Lime
60,31,74,Moong,7.49,3126,63,20,Optimal,Low,Low,urea_ammonium_nitrate_uan,Elemental Sulphur
145,24,99,Mustard,7.63,2172,51,30,Optimal,Low,Optimal,monoammonium_phosphate_map,Wood Ash
66,12,171,Soybean,6.43,2943,78,20,Optimal,Optimal,Low,muriate_of_potash_mop,Dolomite
200,28,190,Soybean,8.09,1168,68,28,Optimal,Optimal,Optimal,potassium_magnesium_sulphate,Dolomite
113,33,71,Cotton,7.42,1906,76,21,Low,Optimal,Optimal,diammonium_phosphate_dap,Balance Maintain
113,31,109,Onion,7.36,2817,60,17,Optimal,Low,Optimal,single_super_phosphate_ssp,Aluminium Sulphate
98,11,192,Maize,7.57,2238,63,18,Optimal,Optimal,Low,monoammonium_phosphate_map,Elemental Sulphur
44,20,141,Soybean,6.31,3081,67,28,Low,Optimal,Optimal,muriate_of_potash_mop,Gypsum
85,19,121,Chickpea,8.47,3182,56,23,Optimal,Optimal,Optimal,ammonium_nitrate,Gypsum
166,16,164,Soybean,6.15,2156,52,26,Optimal,Optimal,Optimal,diammonium_phosphate_dap,Gypsum
83,17,200,Bajra,5.58,2985,69,18,Optimal,Low,Low,diammonium_phosphate_dap,Gypsum
82,10,79,Mustard,5.59,2044,77,22,Optimal,Optimal,Low,muriate_of_potash_mop,Hydrated Lime
163,34,89,Onion,8.22,2566,80,17,Optimal,Low,Low,sulphate_of_potash_sop,Gypsum
109,13,67,Groundnut,6.51,2541,59,28,Low,Optimal,Low,monoammonium_phosphate_map,Quicklime
90,28,139,Soybean,8.31,3133,75,27,Low,Optimal,Low,ammonium_sulphate,Ammonium Sulphate
75,19,64,Wheat,8.21,1581,79,18,Low,Low,Optimal,muriate_of_potash_mop,Wood Ash
78,28,156,Barley,8.38,1195,53,29,Low,Optimal,Optimal,ammonium_chloride,Agricultural Lime
182,25,101,Barley,7.06,3031,68,26,Optimal,Optimal,Low,urea_dap_mixture,Balance Maintain
48,13,185,Chickpea,5.76,3034,60,28,Optimal,Optimal,Optimal,diammonium_phosphate_dap,Balance Maintain
44,16,187,Barley,8.45,2551,54,28,Low,Low,Low,potassium_nitrate,Balance Maintain
47,25,185,Wheat,5.98,3148,60,27,Optimal,Optimal,Low,sulphate_of_potash_sop,Elemental Sulphur
113,28,154,Cotton,6.6,1559,52,16,Low,Optimal,Optimal,urea_dap_mixture,Gypsum
124,14,159,Ragi,6.7,1743,53,17,Low,Optimal,Low,ammonium_chloride,Hydrated Lime
61,29,178,Groundnut,6.62,1852,66,30,Low,Low,Low,balanced_npk_maintenance,Aluminium Sulphate
53,31,93,Groundnut,6.68,2713,62,21,Low,Optimal,Low,diammonium_phosphate_dap,Agricultural Lime
59,25,132,Onion,8.39,1294,61,26,Optimal,Low,Low,ammonium_nitrate,Gypsum
51,33,186,Chickpea,5.76,1128,58,24,Optimal,Low,Optimal,urea_dap_mixture,Aluminium Sulphate
152,18,194,Jowar,5.65,2852,63,16,Low,Optimal,Low,ammonium_nitrate,Quicklime
95,26,124,Rice,7.35,3360,60,25,Optimal,Optimal,Low,monoammonium_phosphate_map,Wood Ash
94,16,112,Barley,7.57,1813,70,23,Optimal,Low,Low,urea,Quicklime
56,29,101,Onion,6.98,3208,63,27,Optimal,Optimal,Low,single_super_phosphate_ssp,Quicklime
108,20,98,Cotton,6.55,2851,79,17,Optimal,Low,Optimal,calcium_ammonium_nitrate_can,Ferrous Sulphate
97,34,73,Chickpea,5.9,986,66,30,Low,Low,Low,urea_ammonium_nitrate_uan,Aluminium Sulphate
119,15,118,Soybean,6.53,2413,58,27,Optimal,Optimal,Low,potassium_nitrate,Gypsum
89,26,162,Rice,5.67,2160,68,29,Low,Optimal,Low,calcium_ammonium_nitrate_can,Ammonium Sulphate
96,25,118,Ragi,6.96,1946,59,23,Low,Low,Low,ammonium_chloride,Dolomite
161,13,141,Garlic,7.39,3139,69,27,Optimal,Optimal,Optimal,calcium_ammonium_nitrate_can,Wood Ash
137,24,112,Moong,7.26,1700,53,25,Optimal,Optimal,Low,ammonium_chloride,Ferrous Sulphate
139,20,126,Maize,8.37,1852,61,27,Low,Optimal,Optimal,dap_mop_mixture,Hydrated Lime
193,32,149,Wheat,5.96,1234,74,20,Low,Low,Low,urea_dap_mixture,Ammonium Sulphate
155,32,173,Groundnut,7.9,2127,51,19,Optimal,Low,Low,ammonium_chloride,Balance Maintain
68,25,71,Moong,7.68,1114,73,18,Low,Low,Low,sulphate_of_potash_sop,Ammonium Sulphate
186,11,120,Soybean,6.14,1502,77,21,Optimal,Optimal,Low,triple_super_phosphate_tsp,Gypsum
70,22,90,Groundnut,5.5,1170,79,24,Optimal,Low,Optimal,potassium_magnesium_sulphate,Gypsum
130,35,60,Chickpea,6.91,3223,80,23,Low,Optimal,Optimal,sulphate_of_potash_sop,Wood Ash
