Soil_Type,pH_Range,EC_Range_µS_cm,Crop_Type,Zn_Status,Fe_Status,Mn_Status,Cu_Status,B_Status,Mo_Status,Cl_Status,Ni_Status
Alluvial,Acidic (<6.0),High (>2000),rice,Low,Low,Low,Low,Low,Low,Normal,Normal
Alluvial,Acidic (<6.0),High (>2000),wheat,Low,Low,Low,Low,Low,Low,Normal,Normal
Alluvial,Acidic (<6.0),High (>2000),maize,Low,Low,Low,Low,Low,Low,Normal,Normal
Alluvial,Acidic (<6.0),High (>2000),barley,Low,Low,Low,Low,Low,Low,Normal,Normal
Alluvial,Acidic (<6.0),High (>2000),jowar,Low,Low,Low,Low,Low,Low,Normal,Normal
Alluvial,Acidic (<6.0),High (>2000),bajra,Low,Low,Low,Low,Low,Low,Normal,Normal
Alluvial,Acidic (<6.0),High (>2000),ragi,Low,Low,Low,Low,Low,Low,Normal,Normal
Alluvial,Acidic (<6.0),High (>2000),groundnut,Low,Low,Low,Low,Low,Low,Normal,Normal
Alluvial,Acidic (<6.0),High (>2000),mustard,Low,Low,Low,Low,Low,Low,Normal,Normal
Alluvial,Acidic (<6.0),High (>2000),soyabean,Low,Low,Low,Low,Low,Low,Normal,Normal
Alluvial,Acidic (<6.0),High (>2000),sugarcane,Low,Low,Low,Low,Low,Low,Normal,Normal
Alluvial,Acidic (<6.0),High (>2000),cotton,Low,Low,Low,Low,Low,Low,Normal,Normal
Alluvial,Acidic (<6.0),High (>2000),chickpea,Low,Low,Low,Low,Low,Low,Normal,Normal
Alluvial,Acidic (<6.0),High (>2000),moong,Low,Low,Low,Low,Low,Low,Normal,Normal
Alluvial,Acidic (<6.0),High (>2000),garlic,Low,Low,Low,Low,Low,Low,Normal,Normal
Alluvial,Acidic (<6.0),High (>2000),onion,Low,Low,Low,Low,Low,Low,Normal,Normal
Alluvial,Neutral (6.0-7.5),Low (<500),rice,Low,Low,Low,Normal,Low,Normal,Normal,Normal
Alluvial,Neutral (6.0-7.5),Low (<500),wheat,Low,Low,Normal,Normal,Low,Normal,Normal,Normal
Alluvial,Neutral (6.0-7.5),Low (<500),maize,Low,Low,Low,Normal,Low,Normal,Normal,Normal
Alluvial,Neutral (6.0-7.5),Low (<500),barley,Low,Low,Normal,Normal,Low,Normal,Normal,Normal
Alluvial,Neutral (6.0-7.5),Low (<500),jowar,Low,Low,Normal,Normal,Low,Normal,Normal,Normal
Alluvial,Neutral (6.0-7.5),Low (<500),bajra,Low,Low,Normal,Normal,Low,Normal,Normal,Normal
Alluvial,Neutral (6.0-7.5),Low (<500),ragi,Low,Low,Normal,Normal,Low,Normal,Normal,Normal
Alluvial,Neutral (6.0-7.5),Low (<500),groundnut,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Alluvial,Neutral (6.0-7.5),Low (<500),mustard,Low,Low,Normal,Normal,Low,Normal,Normal,Normal
Alluvial,Neutral (6.0-7.5),Low (<500),soyabean,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Alluvial,Neutral (6.0-7.5),Low (<500),sugarcane,Low,Low,Low,Normal,Low,Normal,Normal,Normal
Alluvial,Neutral (6.0-7.5),Low (<500),cotton,Low,Low,Normal,Normal,Low,Normal,Normal,Normal
Alluvial,Neutral (6.0-7.5),Low (<500),chickpea,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Alluvial,Neutral (6.0-7.5),Low (<500),moong,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Alluvial,Neutral (6.0-7.5),Low (<500),garlic,Low,Low,Normal,Normal,Low,Normal,Normal,Normal
Alluvial,Neutral (6.0-7.5),Low (<500),onion,Low,Low,Normal,Normal,Low,Normal,Normal,Normal
Alluvial,Neutral (6.0-7.5),Medium (500-2000),rice,Low,Low,Low,Normal,Low,Normal,Normal,Normal
Alluvial,Neutral (6.0-7.5),Medium (500-2000),wheat,Low,Low,Normal,Normal,Low,Normal,Normal,Normal
Alluvial,Neutral (6.0-7.5),Medium (500-2000),maize,Low,Low,Low,Normal,Low,Normal,Normal,Normal
Alluvial,Neutral (6.0-7.5),Medium (500-2000),barley,Low,Low,Normal,Normal,Low,Normal,Normal,Normal
Alluvial,Neutral (6.0-7.5),Medium (500-2000),jowar,Low,Low,Normal,Normal,Low,Normal,Normal,Normal
Alluvial,Neutral (6.0-7.5),Medium (500-2000),bajra,Low,Low,Normal,Normal,Low,Normal,Normal,Normal
Alluvial,Neutral (6.0-7.5),Medium (500-2000),ragi,Low,Low,Normal,Normal,Low,Normal,Normal,Normal
Alluvial,Neutral (6.0-7.5),Medium (500-2000),groundnut,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Alluvial,Neutral (6.0-7.5),Medium (500-2000),mustard,Low,Low,Normal,Normal,Low,Normal,Normal,Normal
Alluvial,Neutral (6.0-7.5),Medium (500-2000),soyabean,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Alluvial,Neutral (6.0-7.5),Medium (500-2000),sugarcane,Low,Low,Low,Normal,Low,Normal,Normal,Normal
Alluvial,Neutral (6.0-7.5),Medium (500-2000),cotton,Low,Low,Normal,Normal,Low,Normal,Normal,Normal
Alluvial,Neutral (6.0-7.5),Medium (500-2000),chickpea,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Alluvial,Neutral (6.0-7.5),Medium (500-2000),moong,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Alluvial,Neutral (6.0-7.5),Medium (500-2000),garlic,Low,Low,Normal,Normal,Low,Normal,Normal,Normal
Alluvial,Neutral (6.0-7.5),Medium (500-2000),onion,Low,Low,Normal,Normal,Low,Normal,Normal,Normal
Alluvial,Neutral (6.0-7.5),High (>2000),rice,Low,Low,Low,Low,Low,Normal,Normal,Normal
Alluvial,Neutral (6.0-7.5),High (>2000),wheat,Low,Low,Low,Low,Low,Normal,Normal,Normal
Alluvial,Neutral (6.0-7.5),High (>2000),maize,Low,Low,Low,Low,Low,Normal,Normal,Normal
Alluvial,Neutral (6.0-7.5),High (>2000),barley,Low,Low,Low,Low,Low,Normal,Normal,Normal
Alluvial,Neutral (6.0-7.5),High (>2000),jowar,Low,Low,Low,Low,Low,Normal,Normal,Normal
Alluvial,Neutral (6.0-7.5),High (>2000),bajra,Low,Low,Low,Low,Low,Normal,Normal,Normal
Alluvial,Neutral (6.0-7.5),High (>2000),ragi,Low,Low,Low,Low,Low,Normal,Normal,Normal
Alluvial,Neutral (6.0-7.5),High (>2000),groundnut,Low,Low,Low,Low,Low,Low,Normal,Normal
Alluvial,Neutral (6.0-7.5),High (>2000),mustard,Low,Low,Low,Low,Low,Normal,Normal,Normal
Alluvial,Neutral (6.0-7.5),High (>2000),soyabean,Low,Low,Low,Low,Low,Low,Normal,Normal
Alluvial,Neutral (6.0-7.5),High (>2000),sugarcane,Low,Low,Low,Low,Low,Normal,Normal,Normal
Alluvial,Neutral (6.0-7.5),High (>2000),cotton,Low,Low,Low,Low,Low,Normal,Normal,Normal
Alluvial,Neutral (6.0-7.5),High (>2000),chickpea,Low,Low,Low,Low,Low,Low,Normal,Normal
Alluvial,Neutral (6.0-7.5),High (>2000),moong,Low,Low,Low,Low,Low,Low,Normal,Normal
Alluvial,Neutral (6.0-7.5),High (>2000),garlic,Low,Low,Low,Low,Low,Normal,Normal,Normal
Alluvial,Neutral (6.0-7.5),High (>2000),onion,Low,Low,Low,Low,Low,Normal,Normal,Normal
Alluvial,Alkaline (>7.5),Low (<500),rice,Low,Low,Low,Low,Low,Normal,Normal,Low
Alluvial,Alkaline (>7.5),Low (<500),wheat,Low,Low,Low,Low,Low,Normal,Normal,Low
Alluvial,Alkaline (>7.5),Low (<500),maize,Low,Low,Low,Low,Low,Normal,Normal,Low
Alluvial,Alkaline (>7.5),Low (<500),barley,Low,Low,Low,Low,Low,Normal,Normal,Low
Alluvial,Alkaline (>7.5),Low (<500),jowar,Low,Low,Low,Low,Low,Normal,Normal,Low
Alluvial,Alkaline (>7.5),Low (<500),bajra,Low,Low,Low,Low,Low,Normal,Normal,Low
Alluvial,Alkaline (>7.5),Low (<500),ragi,Low,Low,Low,Low,Low,Normal,Normal,Low
Alluvial,Alkaline (>7.5),Low (<500),groundnut,Low,Low,Low,Low,Low,Low,Normal,Low
Alluvial,Alkaline (>7.5),Low (<500),mustard,Low,Low,Low,Low,Low,Normal,Normal,Low
Alluvial,Alkaline (>7.5),Low (<500),soyabean,Low,Low,Low,Low,Low,Low,Normal,Low
Alluvial,Alkaline (>7.5),Low (<500),sugarcane,Low,Low,Low,Low,Low,Normal,Normal,Low
Alluvial,Alkaline (>7.5),Low (<500),cotton,Low,Low,Low,Low,Low,Normal,Normal,Low
Alluvial,Alkaline (>7.5),Low (<500),chickpea,Low,Low,Low,Low,Low,Low,Normal,Low
Alluvial,Alkaline (>7.5),Low (<500),moong,Low,Low,Low,Low,Low,Low,Normal,Low
Alluvial,Alkaline (>7.5),Low (<500),garlic,Low,Low,Low,Low,Low,Normal,Normal,Low
Alluvial,Alkaline (>7.5),Low (<500),onion,Low,Low,Low,Low,Low,Normal,Normal,Low
Alluvial,Alkaline (>7.5),Medium (500-2000),rice,Low,Low,Low,Low,Low,Normal,Normal,Low
Alluvial,Alkaline (>7.5),Medium (500-2000),wheat,Low,Low,Low,Low,Low,Normal,Normal,Low
Alluvial,Alkaline (>7.5),Medium (500-2000),maize,Low,Low,Low,Low,Low,Normal,Normal,Low
Alluvial,Alkaline (>7.5),Medium (500-2000),barley,Low,Low,Low,Low,Low,Normal,Normal,Low
Alluvial,Alkaline (>7.5),Medium (500-2000),jowar,Low,Low,Low,Low,Low,Normal,Normal,Low
Alluvial,Alkaline (>7.5),Medium (500-2000),bajra,Low,Low,Low,Low,Low,Normal,Normal,Low
Alluvial,Alkaline (>7.5),Medium (500-2000),ragi,Low,Low,Low,Low,Low,Normal,Normal,Low
Alluvial,Alkaline (>7.5),Medium (500-2000),groundnut,Low,Low,Low,Low,Low,Low,Normal,Low
Alluvial,Alkaline (>7.5),Medium (500-2000),mustard,Low,Low,Low,Low,Low,Normal,Normal,Low
Alluvial,Alkaline (>7.5),Medium (500-2000),soyabean,Low,Low,Low,Low,Low,Low,Normal,Low
Alluvial,Alkaline (>7.5),Medium (500-2000),sugarcane,Low,Low,Low,Low,Low,Normal,Normal,Low
Alluvial,Alkaline (>7.5),Medium (500-2000),cotton,Low,Low,Low,Low,Low,Normal,Normal,Low
Alluvial,Alkaline (>7.5),Medium (500-2000),chickpea,Low,Low,Low,Low,Low,Low,Normal,Low
Alluvial,Alkaline (>7.5),Medium (500-2000),moong,Low,Low,Low,Low,Low,Low,Normal,Low
Alluvial,Alkaline (>7.5),Medium (500-2000),garlic,Low,Low,Low,Low,Low,Normal,Normal,Low
Alluvial,Alkaline (>7.5),Medium (500-2000),onion,Low,Low,Low,Low,Low,Normal,Normal,Low
Alluvial,Alkaline (>7.5),High (>2000),rice,Low,Low,Low,Low,Low,Normal,Normal,Low
Alluvial,Alkaline (>7.5),High (>2000),wheat,Low,Low,Low,Low,Low,Normal,Normal,Low
Alluvial,Alkaline (>7.5),High (>2000),maize,Low,Low,Low,Low,Low,Normal,Normal,Low
Alluvial,Alkaline (>7.5),High (>2000),barley,Low,Low,Low,Low,Low,Normal,Normal,Low
Alluvial,Alkaline (>7.5),High (>2000),jowar,Low,Low,Low,Low,Low,Normal,Normal,Low
Alluvial,Alkaline (>7.5),High (>2000),bajra,Low,Low,Low,Low,Low,Normal,Normal,Low
Alluvial,Alkaline (>7.5),High (>2000),ragi,Low,Low,Low,Low,Low,Normal,Normal,Low
Alluvial,Alkaline (>7.5),High (>2000),groundnut,Low,Low,Low,Low,Low,Low,Normal,Low
Alluvial,Alkaline (>7.5),High (>2000),mustard,Low,Low,Low,Low,Low,Normal,Normal,Low
Alluvial,Alkaline (>7.5),High (>2000),soyabean,Low,Low,Low,Low,Low,Low,Normal,Low
Alluvial,Alkaline (>7.5),High (>2000),sugarcane,Low,Low,Low,Low,Low,Normal,Normal,Low
Alluvial,Alkaline (>7.5),High (>2000),cotton,Low,Low,Low,Low,Low,Normal,Normal,Low
Alluvial,Alkaline (>7.5),High (>2000),chickpea,Low,Low,Low,Low,Low,Low,Normal,Low
Alluvial,Alkaline (>7.5),High (>2000),moong,Low,Low,Low,Low,Low,Low,Normal,Low
Alluvial,Alkaline (>7.5),High (>2000),garlic,Low,Low,Low,Low,Low,Normal,Normal,Low
Alluvial,Alkaline (>7.5),High (>2000),onion,Low,Low,Low,Low,Low,Normal,Normal,Low
Black,Acidic (<6.0),Low (<500),rice,Low,Low,Low,Normal,Low,Low,Normal,Normal
Black,Acidic (<6.0),Low (<500),wheat,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Black,Acidic (<6.0),Low (<500),maize,Low,Low,Low,Normal,Low,Low,Normal,Normal
Black,Acidic (<6.0),Low (<500),barley,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Black,Acidic (<6.0),Low (<500),jowar,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Black,Acidic (<6.0),Low (<500),bajra,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Black,Acidic (<6.0),Low (<500),ragi,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Black,Acidic (<6.0),Low (<500),groundnut,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Black,Acidic (<6.0),Low (<500),mustard,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Black,Acidic (<6.0),Low (<500),soyabean,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Black,Acidic (<6.0),Low (<500),sugarcane,Low,Low,Low,Normal,Low,Low,Normal,Normal
Black,Acidic (<6.0),Low (<500),cotton,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Black,Acidic (<6.0),Low (<500),chickpea,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Black,Acidic (<6.0),Low (<500),moong,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Black,Acidic (<6.0),Low (<500),garlic,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Black,Acidic (<6.0),Low (<500),onion,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Black,Acidic (<6.0),Medium (500-2000),rice,Low,Low,Low,Normal,Low,Low,Normal,Normal
Black,Acidic (<6.0),Medium (500-2000),wheat,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Black,Acidic (<6.0),Medium (500-2000),maize,Low,Low,Low,Normal,Low,Low,Normal,Normal
Black,Acidic (<6.0),Medium (500-2000),barley,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Black,Acidic (<6.0),Medium (500-2000),jowar,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Black,Acidic (<6.0),Medium (500-2000),bajra,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Black,Acidic (<6.0),Medium (500-2000),ragi,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Black,Acidic (<6.0),Medium (500-2000),groundnut,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Black,Acidic (<6.0),Medium (500-2000),mustard,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Black,Acidic (<6.0),Medium (500-2000),soyabean,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Black,Acidic (<6.0),Medium (500-2000),sugarcane,Low,Low,Low,Normal,Low,Low,Normal,Normal
Black,Acidic (<6.0),Medium (500-2000),cotton,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Black,Acidic (<6.0),Medium (500-2000),chickpea,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Black,Acidic (<6.0),Medium (500-2000),moong,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Black,Acidic (<6.0),Medium (500-2000),garlic,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Black,Acidic (<6.0),Medium (500-2000),onion,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Black,Acidic (<6.0),High (>2000),rice,Low,Low,Low,Low,Low,Low,Normal,Normal
Black,Acidic (<6.0),High (>2000),wheat,Low,Low,Low,Low,Low,Low,Normal,Normal
Black,Acidic (<6.0),High (>2000),maize,Low,Low,Low,Low,Low,Low,Normal,Normal
Black,Acidic (<6.0),High (>2000),barley,Low,Low,Low,Low,Low,Low,Normal,Normal
Black,Acidic (<6.0),High (>2000),jowar,Low,Low,Low,Low,Low,Low,Normal,Normal
Black,Acidic (<6.0),High (>2000),bajra,Low,Low,Low,Low,Low,Low,Normal,Normal
Black,Acidic (<6.0),High (>2000),ragi,Low,Low,Low,Low,Low,Low,Normal,Normal
Black,Acidic (<6.0),High (>2000),groundnut,Low,Low,Low,Low,Low,Low,Normal,Normal
Black,Acidic (<6.0),High (>2000),mustard,Low,Low,Low,Low,Low,Low,Normal,Normal
Black,Acidic (<6.0),High (>2000),soyabean,Low,Low,Low,Low,Low,Low,Normal,Normal
Black,Acidic (<6.0),High (>2000),sugarcane,Low,Low,Low,Low,Low,Low,Normal,Normal
Black,Acidic (<6.0),High (>2000),cotton,Low,Low,Low,Low,Low,Low,Normal,Normal
Black,Acidic (<6.0),High (>2000),chickpea,Low,Low,Low,Low,Low,Low,Normal,Normal
Black,Acidic (<6.0),High (>2000),moong,Low,Low,Low,Low,Low,Low,Normal,Normal
Black,Acidic (<6.0),High (>2000),garlic,Low,Low,Low,Low,Low,Low,Normal,Normal
Black,Acidic (<6.0),High (>2000),onion,Low,Low,Low,Low,Low,Low,Normal,Normal
Black,Neutral (6.0-7.5),Low (<500),rice,Low,Low,Low,Normal,Normal,Normal,Normal,Normal
Black,Neutral (6.0-7.5),Low (<500),wheat,Low,Low,Normal,Normal,Normal,Normal,Normal,Normal
Black,Neutral (6.0-7.5),Low (<500),maize,Low,Low,Low,Normal,Normal,Normal,Normal,Normal
Black,Neutral (6.0-7.5),Low (<500),barley,Low,Low,Normal,Normal,Normal,Normal,Normal,Normal
Black,Neutral (6.0-7.5),Low (<500),jowar,Low,Low,Normal,Normal,Normal,Normal,Normal,Normal
Black,Neutral (6.0-7.5),Low (<500),bajra,Low,Low,Normal,Normal,Normal,Normal,Normal,Normal
Black,Neutral (6.0-7.5),Low (<500),ragi,Low,Low,Normal,Normal,Normal,Normal,Normal,Normal
Black,Neutral (6.0-7.5),Low (<500),groundnut,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Black,Neutral (6.0-7.5),Low (<500),mustard,Low,Low,Normal,Normal,Low,Normal,Normal,Normal
Black,Neutral (6.0-7.5),Low (<500),soyabean,Low,Low,Normal,Normal,Normal,Low,Normal,Normal
Black,Neutral (6.0-7.5),Low (<500),sugarcane,Low,Low,Low,Normal,Normal,Normal,Normal,Normal
Black,Neutral (6.0-7.5),Low (<500),cotton,Low,Low,Normal,Normal,Low,Normal,Normal,Normal
Black,Neutral (6.0-7.5),Low (<500),chickpea,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Black,Neutral (6.0-7.5),Low (<500),moong,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Black,Neutral (6.0-7.5),Low (<500),garlic,Low,Low,Normal,Normal,Low,Normal,Normal,Normal
Black,Neutral (6.0-7.5),Low (<500),onion,Low,Low,Normal,Normal,Low,Normal,Normal,Normal
Black,Neutral (6.0-7.5),Medium (500-2000),rice,Low,Low,Low,Normal,Normal,Normal,Normal,Normal
Black,Neutral (6.0-7.5),Medium (500-2000),wheat,Low,Low,Normal,Normal,Normal,Normal,Normal,Normal
Black,Neutral (6.0-7.5),Medium (500-2000),maize,Low,Low,Low,Normal,Normal,Normal,Normal,Normal
Black,Neutral (6.0-7.5),Medium (500-2000),barley,Low,Low,Normal,Normal,Normal,Normal,Normal,Normal
Black,Neutral (6.0-7.5),Medium (500-2000),jowar,Low,Low,Normal,Normal,Normal,Normal,Normal,Normal
Black,Neutral (6.0-7.5),Medium (500-2000),bajra,Low,Low,Normal,Normal,Normal,Normal,Normal,Normal
Black,Neutral (6.0-7.5),Medium (500-2000),ragi,Low,Low,Normal,Normal,Normal,Normal,Normal,Normal
Black,Neutral (6.0-7.5),Medium (500-2000),groundnut,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Black,Neutral (6.0-7.5),Medium (500-2000),mustard,Low,Low,Normal,Normal,Low,Normal,Normal,Normal
Black,Neutral (6.0-7.5),Medium (500-2000),soyabean,Low,Low,Normal,Normal,Normal,Low,Normal,Normal
Black,Neutral (6.0-7.5),Medium (500-2000),sugarcane,Low,Low,Low,Normal,Normal,Normal,Normal,Normal
Black,Neutral (6.0-7.5),Medium (500-2000),cotton,Low,Low,Normal,Normal,Low,Normal,Normal,Normal
Black,Neutral (6.0-7.5),Medium (500-2000),chickpea,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Black,Neutral (6.0-7.5),Medium (500-2000),moong,Low,Low,Normal,Normal,Low,Low,Normal,Normal
Black,Neutral (6.0-7.5),Medium (500-2000),garlic,Low,Low,Normal,Normal,Low,Normal,Normal,Normal
Black,Neutral (6.0-7.5),Medium (500-2000),onion,Low,Low,Normal,Normal,Low,Normal,Normal,Normal
Black,Neutral (6.0-7.5),High (>2000),rice,Low,Low,Low,Low,Normal,Normal,Normal,Normal
Black,Neutral (6.0-7.5),High (>2000),wheat,Low,Low,Low,Low,Normal,Normal,Normal,Normal
Black,Neutral (6.0-7.5),High (>2000),maize,Low,Low,Low,Low,Normal,Normal,Normal,Normal
Black,Neutral (6.0-7.5),High (>2000),barley,Low,Low,Low,Low,Normal,Normal,Normal,Normal
Black,Neutral (6.0-7.5),High (>2000),jowar,Low,Low,Low,Low,Normal,Normal,Normal,Normal
Black,Neutral (6.0-7.5),High (>2000),bajra,Low,Low,Low,Low,Normal,Normal,Normal,Normal
Black,Neutral (6.0-7.5),High (>2000),ragi,Low,Low,Low,Low,Normal,Normal,Normal,Normal
Black,Neutral (6.0-7.5),High (>2000),groundnut,Low,Low,Low,Low,Low,Low,Normal,Normal
Black,Neutral (6.0-7.5),High (>2000),mustard,Low,Low,Low,Low,Low,Normal,Normal,Normal
Black,Neutral (6.0-7.5),High (>2000),soyabean,Low,Low,Low,Low,Normal,Low,Normal,Normal
Black,Neutral (6.0-7.5),High (>2000),sugarcane,Low,Low,Low,Low,Normal,Normal,Normal,Normal
Black,Neutral (6.0-7.5),High (>2000),cotton,Low,Low,Low,Low,Low,Normal,Normal,Normal
Black,Neutral (6.0-7.5),High (>2000),chickpea,Low,Low,Low,Low,Low,Low,Normal,Normal
Black,Neutral (6.0-7.5),High (>2000),moong,Low,Low,Low,Low,Low,Low,Normal,Normal
Black,Neutral (6.0-7.5),High (>2000),garlic,Low,Low,Low,Low,Low,Normal,Normal,Normal
Black,Neutral (6.0-7.5),High (>2000),onion,Low,Low,Low,Low,Low,Normal,Normal,Normal
Black,Alkaline (>7.5),Low (<500),rice,Low,Low,Low,Low,Low,Normal,Normal,Low
Black,Alkaline (>7.5),Low (<500),wheat,Low,Low,Low,Low,Low,Normal,Normal,Low
Black,Alkaline (>7.5),Low (<500),maize,Low,Low,Low,Low,Low,Normal,Normal,Low
Black,Alkaline (>7.5),Low (<500),barley,Low,Low,Low,Low,Low,Normal,Normal,Low
Black,Alkaline (>7.5),Low (<500),jowar,Low,Low,Low,Low,Low,Normal,Normal,Low
Black,Alkaline (>7.5),Low (<500),bajra,Low,Low,Low,Low,Low,Normal,Normal,Low
Black,Alkaline (>7.5),Low (<500),ragi,Low,Low,Low,Low,Low,Normal,Normal,Low
Black,Alkaline (>7.5),Low (<500),groundnut,Low,Low,Low,Low,Low,Low,Normal,Low
Black,Alkaline (>7.5),Low (<500),mustard,Low,Low,Low,Low,Low,Normal,Normal,Low
Black,Alkaline (>7.5),Low (<500),soyabean,Low,Low,Low,Low,Low,Low,Normal,Low
Black,Alkaline (>7.5),Low (<500),sugarcane,Low,Low,Low,Low,Low,Normal,Normal,Low
Black,Alkaline (>7.5),Low (<500),cotton,Low,Low,Low,Low,Low,Normal,Normal,Low
Black,Alkaline (>7.5),Low (<500),chickpea,Low,Low,Low,Low,Low,Low,Normal,Low
Black,Alkaline (>7.5),Low (<500),moong,Low,Low,Low,Low,Low,Low,Normal,Low
